"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","160.41","158.01","164.22","157.54","3.74M","-0.16%"
"01/01/2025","160.66","156.30","162.69","152.76","7.53M","3.32%"
"12/01/2024","155.50","161.33","163.18","153.99","6.62M","-3.50%"
"11/01/2024","161.14","154.61","161.28","153.82","5.04M","4.82%"
"10/01/2024","153.73","156.80","158.74","153.70","4.28M","-2.03%"
"09/01/2024","156.91","153.26","157.38","147.48","5.77M","1.77%"
"08/01/2024","154.18","149.88","154.29","138.39","5.06M","2.81%"
"07/01/2024","149.97","148.04","153.42","146.11","5.62M","1.68%"
"06/01/2024","147.49","146.33","148.86","144.81","3.73M","1.22%"
"05/01/2024","145.71","138.83","147.40","138.58","3.57M","4.70%"
"04/01/2024","139.17","144.80","145.19","136.93","4.34M","-3.96%"
"03/01/2024","144.91","140.60","145.15","139.72","4.32M","3.30%"
"02/01/2024","140.28","134.61","140.73","134.40","3.83M","4.53%"
"01/01/2024","134.20","132.03","136.12","130.48","6.47M","0.89%"
"12/01/2023","133.02","127.65","133.65","127.43","6.18M","4.10%"
"11/01/2023","127.78","117.36","128.20","117.25","5.45M","9.11%"
"10/01/2023","117.11","119.78","122.53","114.70","4.19M","-2.55%"
"09/01/2023","120.17","126.55","126.61","118.68","3.06M","-4.40%"
"08/01/2023","125.70","128.02","128.18","120.89","6.33M","-2.21%"
"07/01/2023","128.54","124.57","129.01","122.02","3.26M","3.23%"
"06/01/2023","124.52","118.97","125.33","118.71","3.40M","4.99%"
"05/01/2023","118.60","119.78","120.85","117.00","2.46M","-0.99%"
"04/01/2023","119.79","117.73","119.93","116.81","2.52M","1.80%"
"03/01/2023","117.67","114.08","117.70","109.48","5.62M","3.24%"